Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2566-10-02 18:20:31 - 18:39:08,183.992,running (indoor),3.3,18:30,5:36,164.525,182.0
2566-10-03 18:34:49 - 19:03:43,267.51,running (indoor),4.631,28:14,6:06,166.159,197.0
2566-10-04 18:09:39 - 18:53:54,434.123,running (indoor),7.388,38:18,5:11,158.99,189.0
2566-10-05 10:06:21 - 10:34:35,306.22,running (indoor),5.565,27:54,5:00,160.902,183.0
2566-10-05 17:32:16 - 17:40:01,80.592,running (indoor),1.488,7:42,5:10,176.28,188.0
2566-10-07 07:57:08 - 08:17:11,179.592,running,3.041,17:39,5:48,167.339,179.0
2566-10-09 18:16:16 - 18:46:27,290.957,running (indoor),5.355,30:01,5:36,167.655,187.0
2566-10-10 07:41:58 - 08:00:30,181.589,running (indoor),3.135,17:57,5:43,156.487,169.0
2566-10-10 18:04:01 - 18:48:12,444.711,running (indoor),7.471,41:16,5:31,165.09,185.0
2566-10-11 17:46:21 - 18:36:16,510.677,running (indoor),8.81,47:41,5:24,164.115,178.0
2566-10-14 17:30:23 - 17:58:10,253.719,running,4.017,19:50,4:56,162.639,186.0
2566-10-16 08:45:26 - 09:12:00,289.284,running (indoor),4.97,25:15,5:04,147.262,179.0
2566-10-16 17:48:37 - 18:34:29,436.682,running (indoor),7.156,38:10,5:20,148.659,176.0
2566-10-17 10:30:39 - 11:10:05,355.838,running (indoor),6.02,30:50,5:07,140.612,174.0
2566-10-17 17:32:10 - 18:03:47,285.466,running (indoor),4.82,24:42,5:07,146.373,174.0
2566-10-18 17:51:04 - 18:39:12,516.919,running (indoor),9.018,45:53,5:05,154.421,175.0
2566-10-19 09:54:16 - 10:21:50,291.59,running (indoor),5.137,26:10,5:05,150.638,170.0
2566-10-19 17:37:07 - 19:24:24,282.06,running (indoor),5.067,26:39,5:15,152.786,177.0
2566-10-21 17:57:09 - 18:16:47,147.069,running,2.09,10:58,5:15,143.814,178.0
2566-10-23 08:02:10 - 08:31:26,267.24,running,4.104,22:38,5:31,154.657,175.0
2566-10-24 09:52:07 - 10:54:48,313.824,running (indoor),4.614,26:59,5:50,123.001,175.0
2566-10-24 17:45:08 - 18:34:18,369.215,running (indoor),5.59,31:02,5:33,151.705,184.0
2566-10-25 10:21:52 - 10:52:46,147.595,running (indoor),2.139,12:29,5:50,129.842,168.0
2566-10-26 10:56:32 - 11:47:55,316.587,running (indoor),5.011,29:16,5:50,132.039,166.0
2566-10-26 18:29:00 - 19:04:04,298.962,running (indoor),5.287,30:59,5:51,151.034,187.0
2566-10-30 17:41:32 - 18:15:11,291.367,running,4.016,21:38,5:23,166.435,191.0
2566-10-31 17:32:28 - 18:01:14,220.253,running,3.59,20:34,5:43,166.377,190.0
