Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2567-02-01 13:48:53 - 14:12:30,274.089,running (indoor),5.05,23:16,4:36,170.723,181.0
2567-02-07 18:49:46 - 19:05:41,178.31,running (indoor),3.282,15:34,4:44,180.958,195.0
2567-02-08 13:06:03 - 13:25:49,227.831,running (indoor),4.223,19:31,4:37,174.996,186.0
2567-02-10 18:19:25 - 18:42:51,265.494,running,5.03,22:51,4:32,174.502,188.0
2567-02-12 18:00:27 - 18:23:52,273.777,running (indoor),5.05,23:23,4:37,169.039,178.0
2567-02-13 18:06:05 - 18:29:23,273.412,running (indoor),5.041,22:54,4:32,174.297,180.0
2567-02-14 17:47:38 - 18:11:13,273.596,running (indoor),5.047,23:15,4:36,168.353,177.0
2567-02-15 13:30:52 - 13:54:15,274.209,running (indoor),5.031,22:59,4:34,172.549,182.0
2567-02-17 17:53:38 - 18:18:46,287.13,running,5.367,24:41,4:35,178.981,188.0
2567-02-17 18:24:30 - 18:28:02,22.642,running,0.399,1:16,3:11,166.52,194.0
2567-02-19 18:59:51 - 19:15:01,166.966,running (indoor),3.113,15:08,4:51,169.94,178.0
2567-02-21 17:51:20 - 18:16:15,272.68,running (indoor),5.045,24:53,4:56,176.87,190.0
2567-02-24 17:45:56 - 18:11:57,295.417,running,5.479,26:01,4:44,186.597,201.0
2567-02-25 17:51:05 - 18:23:58,377.729,running,7.043,31:57,4:32,186.358,198.0
2567-02-27 19:02:35 - 19:17:12,165.444,running (indoor),3.041,14:24,4:44,170.239,175.0
2567-02-28 18:15:58 - 18:39:40,271.163,running (indoor),5.021,23:20,4:38,177.66,190.0
