Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2567-05-02 18:25:40 - 18:54:58,260.871,running,5.029,27:57,5:33,166.503,173.0
2567-05-03 18:21:18 - 19:01:59,373.897,running,7.03,39:03,5:33,172.104,194.0
2567-05-05 18:20:32 - 19:15:29,377.77,running,7.028,35:56,5:06,164.77,194.0
2567-05-06 18:23:51 - 18:51:27,271.868,running,5.09,25:30,5:00,176.744,191.0
2567-05-08 17:54:57 - 18:20:59,236.814,running,4.408,22:08,5:01,174.593,195.0
2567-05-14 18:24:46 - 18:44:15,176.178,running,3.021,16:23,5:25,176.554,187.0
2567-05-15 18:29:31 - 19:04:37,264.512,running,5.038,27:43,5:30,165.332,190.0
2567-05-16 18:31:16 - 18:49:33,183.571,running,3.418,17:42,5:10,173.146,186.0
2567-05-16 18:54:11 - 19:01:29,56.798,running,1.045,4:40,4:28,177.682,192.0
2567-05-17 18:26:46 - 18:54:00,264.475,running,5.036,24:24,4:50,177.757,196.0
2567-05-20 18:15:35 - 18:58:56,320.904,running,5.397,30:23,5:37,168.305,189.0
2567-05-22 18:21:47 - 19:03:48,270.253,running,5.029,25:19,5:02,171.552,196.0
2567-05-23 18:11:45 - 18:42:28,189.925,running,3.403,19:51,5:50,155.141,182.0
2567-05-24 18:15:02 - 18:33:15,163.267,running,3.06,15:15,4:59,180.24,194.0
2567-05-24 18:36:52 - 18:43:21,55.533,running,1.031,4:26,4:18,176.352,191.0
2567-05-25 18:23:31 - 19:14:44,371.488,running,7.061,34:32,4:53,156.806,193.0
2567-05-27 18:15:18 - 18:38:35,264.966,running,5.037,23:15,4:37,179.874,194.0
2567-05-27 18:45:58 - 19:03:53,56.124,running,1.039,4:22,4:12,160.016,196.0
2567-05-28 18:04:03 - 18:10:07,61.389,running,1.177,6:02,5:08,157.242,196.0
2567-05-28 18:12:49 - 18:52:08,368.527,running,7.026,39:18,5:35,159.604,168.0
2567-05-29 18:15:09 - 18:22:51,56.416,running,1.036,4:10,4:01,173.478,189.0
2567-05-29 18:23:19 - 18:31:41,55.689,running,1.028,4:08,4:01,176.22,192.0
2567-05-29 18:32:01 - 18:37:16,55.341,running,1.042,4:17,4:06,184.492,195.0
2567-05-29 18:41:59 - 18:53:53,54.066,running,1.028,4:07,4:00,161.895,191.0
2567-05-29 18:54:22 - 19:01:37,55.943,running,1.024,4:00,3:54,171.747,190.0
2567-05-31 18:09:42 - 19:08:16,380.398,running,7.041,40:58,5:49,155.139,180.0
