Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2567-07-10 17:37:14 - 18:18:55,269.527,running,5.008,28:46,5:44,143.16,164.0
2567-07-11 17:42:49 - 18:34:58,312.505,running,6.006,34:14,5:42,145.039,170.0
2567-07-12 17:51:04 - 18:17:45,70.046,running,1.307,8:34,6:33,119.886,154.0
2567-07-14 17:31:48 - 18:52:43,774.967,running,13.25,74:08,5:35,172.735,192.0
2567-07-15 16:53:55 - 17:55:03,365.861,running,7.036,38:12,5:25,146.798,181.0
2567-07-16 17:47:02 - 18:50:38,531.3,running,10.109,52:48,5:13,150.75,197.0
2567-07-17 17:47:12 - 18:56:46,532.442,running,10.075,52:05,5:10,153.784,198.0
2567-07-18 17:12:13 - 18:00:12,416.491,running,7.766,47:57,6:10,136.806,153.0
2567-07-19 17:35:37 - 18:59:56,706.758,running,13.01,73:38,5:39,157.812,183.0
2567-07-22 07:37:12 - 08:14:32,281.133,running,5.151,30:13,5:52,141.598,165.0
2567-07-23 17:32:46 - 17:41:27,55.737,running (indoor),1.033,6:11,5:59,131.317,146.0
2567-07-23 18:18:36 - 18:42:58,136.704,running,2.255,14:16,6:19,132.37,158.0
2567-07-24 17:49:21 - 18:21:45,261.219,running,5.021,25:23,5:03,150.811,182.0
2567-07-24 18:36:27 - 18:57:01,272.044,running,5.026,19:37,3:54,182.889,202.0
2567-07-26 17:15:38 - 18:04:14,339.88,running,6.385,38:42,6:03,143.123,169.0
2567-07-31 17:33:12 - 18:59:13,655.96,running,11.832,67:35,5:42,155.693,187.0
