Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2567-08-02 06:44:35 - 07:44:34,571.59,running,10.015,53:19,5:19,160.694,191.0
2567-08-04 17:21:36 - 18:36:47,714.014,running,12.017,66:43,5:33,163.089,182.0
2567-08-05 16:54:16 - 17:49:16,458.205,running,8.013,43:18,5:24,164.897,185.0
2567-08-06 18:05:22 - 19:00:02,539.658,running,10.005,54:35,5:27,153.855,193.0
2567-08-07 17:11:49 - 17:39:15,265.148,running,5.026,27:22,5:26,150.105,168.0
2567-08-07 17:52:21 - 18:00:08,110.498,running,2.031,7:45,3:49,176.57,185.0
2567-08-07 18:05:59 - 18:14:24,110.093,running,2.03,7:58,3:55,181.683,191.0
2567-08-07 18:20:54 - 18:35:28,107.6,running,2.019,7:54,3:54,167.378,190.0
2567-08-07 18:36:20 - 18:44:19,109.15,running,2.028,7:57,3:55,188.809,196.0
2567-08-07 18:52:19 - 19:01:08,107.095,running,2.013,8:04,4:00,185.566,194.0
2567-08-09 17:14:48 - 18:19:45,615.33,running,10.363,60:07,5:48,154.622,170.0
2567-08-13 18:03:15 - 18:59:05,531.24,running,10.173,55:48,5:29,147.903,182.0
2567-08-14 17:30:14 - 17:56:49,262.308,running,5.018,25:25,5:04,153.125,175.0
2567-08-14 18:08:55 - 18:16:50,106.121,running,2.042,7:55,3:52,173.905,183.0
2567-08-14 18:21:41 - 18:29:59,107.876,running,2.024,7:59,3:56,180.8,190.0
2567-08-14 18:36:06 - 18:47:54,108.204,running,2.013,8:02,3:59,173.243,196.0
2567-08-14 18:54:14 - 19:02:20,106.166,running,2.023,8:06,4:00,178.783,190.0
2567-08-14 19:11:47 - 19:19:55,107.448,running,2.045,8:08,3:58,184.8,193.0
2567-08-16 17:37:11 - 18:04:39,267.728,running,5.005,27:28,5:29,154.913,176.0
2567-08-16 18:17:13 - 18:29:06,136.254,running,2.51,10:55,4:21,172.923,182.0
2567-08-18 06:27:42 - 07:36:14,666.65,running,12.041,66:23,5:30,151.347,174.0
2567-08-18 17:36:22 - 18:09:27,256.541,running,5.019,28:41,5:42,140.607,169.0
2567-08-18 18:18:24 - 18:51:38,392.953,running,7.026,33:14,4:43,177.711,189.0
2567-08-19 17:13:16 - 17:57:56,377.312,running,6.505,43:00,6:36,138.305,161.0
2567-08-21 17:01:31 - 17:30:56,290.108,running,5.01,29:24,5:52,161.262,172.0
2567-08-21 17:47:58 - 17:51:41,54.845,running,1.047,3:42,3:32,186.857,193.0
2567-08-21 17:59:26 - 18:03:02,57.166,running,1.03,3:35,3:29,,
2567-08-21 18:10:43 - 18:14:30,55.0,running,1.039,3:47,3:38,156.667,167.0
2567-08-21 18:23:09 - 18:27:16,62.144,running,1.013,4:06,4:02,,
2567-08-22 17:24:33 - 18:34:00,550.113,running,10.025,59:30,5:56,154.648,173.0
2567-08-23 17:23:19 - 18:28:19,572.698,running,10.141,59:02,5:49,148.444,171.0
2567-08-30 06:21:35 - 06:47:51,267.293,running,5.022,26:00,5:10,158.02,171.0
2567-08-30 07:01:31 - 07:03:11,23.133,running,0.426,1:21,3:11,188.5,194.0
2567-08-30 07:05:20 - 07:06:44,23.367,running,0.441,1:24,3:12,165.8,177.0
2567-08-30 07:10:30 - 07:13:10,23.223,running,0.413,1:22,3:20,175.429,189.0
2567-08-30 07:16:18 - 07:17:48,23.11,running,0.426,1:22,3:13,,
2567-08-30 07:22:47 - 07:24:38,22.77,running,0.406,1:23,3:24,181.5,185.0
2567-08-30 17:18:18 - 18:48:51,913.559,running,16.242,90:06,5:32,157.813,188.0
2567-08-31 17:19:17 - 18:17:48,642.102,running,10.346,57:37,5:34,167.003,188.0
