Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2567-08-31 17:19:17 - 18:17:48,642.102,running,10.346,57:37,5:34,167.003,188.0
2567-09-01 17:22:31 - 17:51:52,280.46,running,5.016,29:16,5:50,146.772,184.0
2567-09-01 18:07:18 - 18:39:58,400.775,running,7.029,32:10,4:34,189.711,201.0
2567-09-02 17:17:01 - 18:08:59,503.785,running,8.028,51:55,6:28,146.476,162.0
2567-09-03 18:02:23 - 18:57:57,529.763,running,10.104,55:34,5:30,147.727,182.0
2567-09-04 17:21:00 - 17:50:09,258.901,running,5.028,29:01,5:46,144.123,169.0
2567-09-04 18:03:49 - 18:12:37,126.923,running,2.33,8:47,3:46,177.724,194.0
2567-09-04 18:16:25 - 18:25:55,116.359,running,2.143,8:09,3:48,183.557,194.0
2567-09-04 18:30:19 - 18:39:48,114.288,running,2.118,8:14,3:53,186.593,196.0
2567-09-04 18:46:35 - 18:54:52,109.975,running,2.064,8:03,3:54,187.367,197.0
2567-09-04 19:03:20 - 19:11:15,109.455,running,2.018,7:32,3:44,187.287,198.0
2567-09-06 06:54:29 - 07:17:23,151.78,running,3.028,22:53,7:33,117.745,129.0
2567-09-06 17:09:54 - 17:13:48,29.182,running,0.544,3:54,7:10,122.6,128.0
2567-09-06 17:14:21 - 18:49:52,1006.82,running,17.164,94:29,5:30,155.198,190.0
2567-09-07 17:34:54 - 18:18:02,410.307,running,7.09,43:08,6:05,141.185,156.0
2567-09-10 17:57:42 - 18:51:04,550.812,running,10.115,53:20,5:16,155.226,185.0
2567-09-11 17:13:59 - 17:44:34,281.514,running,5.017,30:12,6:01,139.033,164.0
2567-09-11 17:56:56 - 18:00:23,55.663,running,1.029,3:21,3:15,179.737,190.0
2567-09-11 18:05:42 - 18:11:29,56.227,running,1.019,3:27,3:23,174.855,191.0
2567-09-11 18:15:29 - 18:19:15,53.697,running,1.023,3:31,3:26,182.644,191.0
2567-09-11 18:26:58 - 18:30:58,55.023,running,1.017,3:35,3:31,183.708,192.0
2567-09-11 18:38:26 - 18:42:06,53.131,running,1.032,3:39,3:33,181.357,189.0
2567-09-16 17:08:22 - 17:49:28,416.747,running,7.053,41:04,5:49,156.344,171.0
2567-09-17 17:28:04 - 18:30:42,562.106,running,10.124,53:16,5:15,152.204,186.0
2567-09-18 17:24:32 - 17:57:27,287.623,running (indoor),5.014,27:03,5:23,143.739,162.0
2567-09-18 18:08:21 - 18:16:10,112.948,running (indoor),2.019,7:34,3:45,174.444,187.0
2567-09-18 18:23:36 - 18:31:52,110.987,running (indoor),2.016,7:56,3:56,182.686,189.0
2567-09-18 18:39:21 - 18:43:10,57.59,running (indoor),1.022,3:39,3:34,190.0,192.0
2567-09-20 06:21:07 - 07:53:37,1023.13,running,16.023,90:27,5:38,163.353,192.0
2567-09-23 06:32:25 - 07:29:05,472.535,running,7.789,44:10,5:40,149.644,180.0
2567-09-24 17:54:50 - 18:49:36,546.543,running,10.117,53:49,5:19,154.036,184.0
2567-09-25 17:45:10 - 18:17:08,280.378,running,5.008,28:42,5:43,143.154,168.0
2567-09-25 18:24:43 - 18:32:56,114.455,running,2.12,8:04,3:48,180.444,190.0
2567-09-25 18:37:26 - 18:45:16,109.271,running,2.04,7:48,3:49,187.16,197.0
2567-09-25 18:52:04 - 18:58:59,90.686,running,1.69,6:55,4:05,185.543,192.0
2567-09-25 19:05:39 - 19:09:35,54.38,running,1.018,3:52,3:48,185.857,192.0
2567-09-27 16:52:29 - 18:23:20,979.633,running,15.003,90:46,6:03,154.114,175.0
2567-09-28 17:39:38 - 18:23:58,458.463,running,8.018,44:17,5:31,150.855,185.0
2567-09-28 18:28:59 - 18:35:54,66.093,running,1.011,6:55,6:51,146.512,153.0
2567-09-29 17:25:35 - 17:50:21,205.625,running,4.038,24:44,6:07,140.051,170.0
2567-09-29 17:59:15 - 18:10:01,141.436,running,2.655,10:45,4:03,181.25,191.0
