Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2567-11-01 06:21:19 - 07:02:05,393.277,running,7.075,40:32,5:43,156.213,189.0
2567-11-01 16:39:36 - 17:47:53,695.85,running,11.015,63:11,5:44,172.116,200.0
2567-11-02 06:23:30 - 07:07:26,425.504,running,7.013,43:18,6:10,157.65,176.0
2567-11-02 16:35:25 - 18:01:17,884.523,running,15.029,85:52,5:42,167.35,195.0
2567-11-04 16:31:14 - 17:30:46,559.908,running,10.004,54:35,5:27,167.492,200.0
2567-11-04 17:42:10 - 17:46:15,52.928,running,1.019,4:03,3:58,184.714,193.0
2567-11-05 06:20:58 - 07:13:17,364.468,running,7.007,45:05,6:26,136.744,158.0
2567-11-05 17:03:07 - 18:19:26,691.485,running,13.008,71:22,5:29,160.142,190.0
2567-11-06 06:25:57 - 07:16:17,384.446,running,7.015,50:16,7:10,136.615,150.0
2567-11-06 16:49:53 - 18:17:14,696.58,running,13.005,86:56,6:41,148.552,168.0
2567-11-07 06:27:19 - 07:10:50,361.138,running,7.015,43:18,6:10,143.303,160.0
2567-11-07 16:29:42 - 16:47:56,150.496,running,3.023,18:12,6:01,140.468,166.0
2567-11-07 17:02:32 - 17:06:37,54.334,running,1.028,4:00,3:54,172.542,183.0
2567-11-07 17:11:19 - 17:15:24,56.454,running,1.013,3:57,3:54,173.062,182.0
2567-11-07 17:19:45 - 17:23:51,54.955,running,1.021,4:00,3:55,173.312,181.0
2567-11-07 17:28:57 - 17:32:58,55.533,running,1.013,3:53,3:50,177.875,189.0
2567-11-07 17:39:24 - 17:43:32,56.267,running,1.043,4:07,3:57,182.756,190.0
2567-11-07 17:51:25 - 17:55:32,56.45,running,1.014,4:00,3:57,183.5,184.0
2567-11-07 18:03:16 - 18:07:07,58.15,running,1.014,3:48,3:45,202.7,210.0
2567-11-08 06:36:40 - 07:43:18,353.034,running,7.003,53:17,7:36,119.114,141.0
2567-11-08 16:47:22 - 17:29:38,311.826,running,6.11,37:07,6:04,140.432,165.0
2567-11-09 16:59:12 - 17:27:27,308.153,running,5.002,27:59,5:35,154.129,174.0
2567-11-09 17:33:29 - 17:43:04,114.856,running,1.907,9:34,5:01,168.115,177.0
2567-11-10 17:14:01 - 17:53:52,449.468,running,7.017,39:31,5:38,156.92,176.0
2567-11-10 17:58:36 - 18:02:44,56.425,running,0.998,4:02,4:02,182.826,191.0
2567-11-14 10:37:56 - 10:48:40,126.562,running (indoor),1.85,10:35,5:43,163.186,181.0
2567-11-14 10:55:08 - 10:59:31,55.689,running (indoor),1.026,4:21,4:14,180.373,186.0
2567-11-19 17:05:53 - 17:08:02,12.939,running,0.211,1:30,7:10,120.32,128.0
2567-11-20 17:23:25 - 17:53:29,330.324,running,5.112,29:30,5:46,155.493,180.0
2567-11-20 17:59:09 - 18:05:31,68.159,running,1.003,6:14,6:13,156.506,168.0
2567-11-21 16:58:16 - 17:57:37,642.564,running,10.139,59:19,5:51,155.52,190.0
2567-11-22 06:26:31 - 07:08:05,449.007,running,7.009,41:32,5:55,148.646,177.0
2567-11-22 16:49:25 - 17:06:29,40.466,running,0.695,4:55,7:05,102.094,138.0
2567-11-26 17:14:48 - 18:08:36,683.426,running,10.031,53:47,5:21,172.793,192.0
2567-11-27 17:35:53 - 18:57:53,944.635,running,15.015,77:32,5:09,164.021,193.0
2567-11-29 16:59:09 - 18:00:05,749.244,running,12.636,60:56,4:49,176.487,189.0
2567-11-30 06:41:30 - 07:05:49,235.387,running,4.505,24:19,5:23,141.935,158.0
2567-11-30 16:43:02 - 18:12:45,1028.868,running,17.255,89:29,5:11,158.676,189.0
