Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2567-12-01 16:46:24 - 17:09:57,244.051,running,4.55,23:29,5:09,149.629,170.0
2567-12-01 17:17:26 - 17:31:20,189.686,running,3.513,13:47,3:55,180.681,190.0
2567-12-01 17:41:51 - 17:55:47,188.521,running,3.52,13:54,3:57,185.337,195.0
2567-12-01 18:00:56 - 18:05:25,41.889,running,0.649,4:29,6:54,156.729,164.0
2567-12-02 16:23:27 - 16:58:19,302.556,running,5.007,33:57,6:46,130.55,143.0
2567-12-03 16:36:30 - 17:03:39,267.599,running,5.017,27:08,5:24,150.158,182.0
2567-12-03 17:17:10 - 17:24:35,109.521,running,2.012,7:18,3:38,182.898,195.0
2567-12-03 17:31:57 - 17:39:32,108.948,running,2.033,7:28,3:40,186.528,193.0
2567-12-03 17:46:06 - 17:53:43,109.746,running,2.017,7:34,3:45,184.132,193.0
2567-12-03 18:04:52 - 18:20:31,218.163,running,4.012,15:28,3:51,187.736,196.0
2567-12-05 07:25:48 - 07:59:57,293.548,running,5.02,34:07,6:47,127.528,139.0
2567-12-05 16:57:40 - 17:07:58,108.342,running,2.032,10:16,5:03,150.304,156.0
2567-12-05 17:12:10 - 18:15:21,729.281,running,13.016,63:11,4:51,163.629,172.0
2567-12-06 16:23:51 - 17:23:42,557.056,running,10.01,59:51,5:58,144.189,153.0
2567-12-07 17:02:46 - 17:36:31,334.784,running,5.85,33:45,5:46,144.955,155.0
2567-12-09 16:34:19 - 17:00:32,286.937,running,5.009,26:13,5:14,162.585,189.0
2567-12-09 17:15:03 - 17:26:56,160.512,running,2.975,11:52,3:59,186.285,195.0
2567-12-09 17:33:35 - 17:36:22,39.522,running,0.751,2:47,3:42,181.588,189.0
2567-12-13 17:10:32 - 18:13:37,699.419,running,13.037,62:55,4:49,161.891,173.0
2567-12-14 16:41:48 - 17:39:00,629.424,running,10.012,57:12,5:42,158.295,174.0
2567-12-15 16:34:25 - 17:01:30,273.175,running,5.007,27:05,5:24,153.0,167.0
2567-12-15 17:07:44 - 17:25:44,188.42,running,3.513,13:53,3:57,179.318,196.0
2567-12-15 17:32:11 - 17:33:48,22.308,running,0.393,1:36,4:06,172.5,183.0
2567-12-15 17:40:35 - 17:44:41,55.517,running,1.015,4:06,4:02,184.182,189.0
2567-12-17 16:53:24 - 17:22:57,281.728,running,5.182,29:32,5:42,148.574,159.0
2567-12-17 17:34:04 - 17:41:17,108.913,running,2.016,7:09,3:32,182.048,192.0
2567-12-17 17:51:20 - 17:58:48,112.791,running,2.022,7:20,3:38,183.674,191.0
2567-12-17 18:09:07 - 18:16:23,111.482,running,2.02,7:13,3:34,184.264,194.0
2567-12-17 18:25:38 - 18:32:59,113.927,running,2.016,7:14,3:35,182.782,189.0
2567-12-17 18:43:16 - 18:50:54,111.799,running,2.013,7:34,3:45,183.077,194.0
2567-12-18 17:44:51 - 18:10:52,153.745,running,3.004,24:41,8:13,118.266,130.0
2567-12-20 17:09:01 - 17:52:00,313.054,running,5.838,30:11,5:10,139.304,166.0
2567-12-20 17:56:55 - 18:00:45,56.502,running,1.014,3:43,3:40,183.737,188.0
2567-12-20 18:03:12 - 18:05:23,31.46,running,0.558,2:11,3:54,174.684,186.0
2567-12-21 16:53:47 - 17:51:47,643.331,running,12.01,57:59,4:49,173.276,187.0
2567-12-22 16:50:37 - 17:18:30,263.74,running,5.018,25:55,5:10,151.756,186.0
2567-12-22 17:27:57 - 17:33:27,79.949,running,1.511,5:24,3:34,176.167,183.0
2567-12-22 17:39:01 - 17:40:31,19.214,running,0.414,1:29,3:36,181.25,183.0
2567-12-24 17:24:27 - 17:48:40,245.62,running,4.538,23:46,5:14,161.249,180.0
2567-12-24 17:59:53 - 18:07:17,113.58,running,2.074,7:24,3:34,180.663,190.0
2567-12-24 18:21:52 - 18:30:29,128.118,running,2.381,8:37,3:37,190.286,195.0
2567-12-24 18:38:15 - 18:41:14,40.653,running,0.815,2:58,3:39,179.308,210.0
