Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2568-01-02 17:24:07 - 17:53:05,272.313,running,5.015,28:16,5:38,149.87,168.0
2568-01-03 17:29:47 - 17:57:13,292.52,running,5.008,27:25,5:28,170.34,184.0
2568-01-04 16:51:03 - 17:18:14,281.371,running,5.022,27:11,5:24,162.197,180.0
2568-01-04 17:26:48 - 17:28:18,23.397,running,0.44,1:29,3:24,158.0,182.0
2568-01-04 17:30:14 - 17:31:45,22.471,running,0.416,1:23,3:21,190.75,196.0
2568-01-04 17:33:48 - 17:35:28,21.642,running,0.428,1:30,3:31,179.727,190.0
2568-01-04 17:38:12 - 17:39:49,21.227,running,0.421,1:27,3:27,179.455,195.0
2568-01-04 17:44:29 - 17:46:06,21.271,running,0.418,1:26,3:28,191.417,194.0
2568-01-04 17:49:07 - 17:50:37,21.59,running,0.42,1:28,3:30,187.0,190.0
2568-01-05 16:57:00 - 17:50:48,597.085,running,10.032,53:48,5:21,169.9,194.0
2568-01-05 18:01:44 - 18:03:17,24.189,running,0.42,1:27,3:28,168.0,169.0
2568-01-05 18:05:31 - 18:07:00,21.272,running,0.44,1:28,3:21,186.8,192.0
2568-01-05 18:09:10 - 18:10:38,19.794,running,0.422,1:23,3:17,192.5,193.0
2568-01-05 18:13:35 - 18:15:07,19.829,running,0.412,1:28,3:33,189.143,192.0
2568-01-05 18:19:00 - 18:20:25,22.075,running,0.428,1:25,3:18,190.75,193.0
2568-01-06 17:00:39 - 17:29:37,295.542,running,5.003,28:55,5:46,158.41,172.0
2568-01-07 17:12:32 - 17:42:33,270.404,running,5.051,28:50,5:42,147.745,172.0
2568-01-07 17:54:57 - 17:59:33,66.075,running,1.228,4:27,3:37,179.633,186.0
2568-01-07 18:04:06 - 18:08:37,66.171,running,1.234,4:28,3:37,180.406,188.0
2568-01-07 18:13:10 - 18:17:46,68.903,running,1.209,4:33,3:46,181.0,190.0
2568-01-07 18:23:04 - 18:27:41,63.508,running,1.256,4:30,3:35,184.568,191.0
2568-01-07 18:38:30 - 18:43:09,68.423,running,1.309,4:38,3:32,183.133,190.0
2568-01-07 18:47:52 - 18:52:29,69.274,running,1.305,4:31,3:27,174.625,177.0
2568-01-07 18:57:32 - 19:02:09,67.947,running,1.283,4:30,3:30,140.5,141.0
2568-01-07 19:09:43 - 19:14:18,68.233,running,1.26,4:26,3:31,186.467,197.0
2568-01-08 17:52:18 - 18:29:26,335.389,running (indoor),6.205,37:07,5:59,142.564,152.0
2568-01-10 17:05:10 - 17:25:45,213.644,running,4.011,20:35,5:07,150.407,187.0
2568-01-10 17:37:34 - 17:58:19,268.809,running,5.011,20:44,4:08,187.341,196.0
2568-01-10 18:07:08 - 18:11:31,66.954,running,1.289,4:23,3:24,182.882,189.0
2568-01-11 16:37:21 - 17:01:13,214.718,running,4.104,23:33,5:44,142.286,168.0
2568-01-11 17:03:10 - 17:07:54,20.876,running,0.415,4:43,11:23,113.6,121.0
2568-01-11 17:20:25 - 17:21:54,18.738,running,0.42,1:28,3:31,167.062,181.0
2568-01-11 17:23:16 - 17:24:45,21.106,running,0.422,1:28,3:30,182.0,182.0
2568-01-11 17:26:19 - 17:27:48,22.977,running,0.419,1:28,3:31,155.0,162.0
2568-01-11 17:29:20 - 17:30:45,20.509,running,0.39,1:25,3:39,151.5,152.0
2568-01-11 17:33:11 - 17:34:37,22.753,running,0.415,1:26,3:27,149.0,156.0
2568-01-11 17:37:00 - 17:38:26,20.821,running,0.416,1:25,3:26,188.8,192.0
2568-01-11 17:41:00 - 17:42:27,20.955,running,0.417,1:27,3:29,,
2568-01-11 17:45:13 - 17:46:41,19.689,running,0.425,1:28,3:27,190.2,193.0
2568-01-11 17:52:00 - 17:53:28,20.577,running,0.416,1:28,3:31,152.4,173.0
2568-01-11 17:56:30 - 17:58:00,18.729,running,0.411,1:29,3:37,191.75,192.0
2568-01-11 18:00:33 - 18:02:01,23.045,running,0.416,1:27,3:30,186.5,210.0
2568-01-11 18:04:37 - 18:06:08,21.205,running,0.417,1:31,3:39,193.2,196.0
2568-01-11 18:08:15 - 18:09:43,18.826,running,0.415,1:27,3:31,,
2568-01-11 18:12:27 - 18:13:56,20.522,running,0.425,1:29,3:30,188.286,192.0
2568-01-11 18:16:38 - 18:18:08,21.563,running,0.407,1:29,3:39,,
2568-01-11 18:21:09 - 18:22:39,22.299,running,0.417,1:30,3:37,188.0,188.0
2568-01-12 16:44:50 - 16:59:01,140.292,running,2.505,14:10,5:39,143.72,164.0
2568-01-14 17:14:44 - 17:39:37,256.193,running,5.015,24:53,4:57,150.166,184.0
2568-01-14 17:49:58 - 17:57:28,115.215,running,2.159,7:30,3:28,180.344,189.0
2568-01-14 18:04:08 - 18:11:47,116.303,running,2.167,7:38,3:31,182.67,190.0
2568-01-14 18:20:34 - 18:28:11,118.679,running,2.207,7:36,3:26,181.099,190.0
2568-01-14 18:36:44 - 18:44:20,117.679,running,2.173,7:35,3:29,182.943,190.0
2568-01-14 18:55:08 - 19:02:45,113.92,running,2.166,7:36,3:30,186.89,201.0
2568-01-15 17:42:37 - 18:11:42,291.886,running (indoor),5.379,29:05,5:24,134.413,146.0
2568-01-17 16:34:54 - 17:05:39,273.841,running,5.024,30:45,6:07,140.084,153.0
2568-01-17 17:22:31 - 17:33:37,165.311,running,3.027,11:06,3:40,178.806,186.0
2568-01-19 04:00:03 - 04:20:32,207.021,running,2.719,19:11,7:03,158.162,184.0
2568-01-19 04:59:42 - 05:19:10,272.249,running,4.817,19:27,4:02,191.799,198.0
2568-01-19 16:43:05 - 17:00:38,141.503,running,2.612,17:33,6:43,129.649,142.0
2568-01-26 07:40:55 - 08:25:40,494.928,running,9.027,44:45,4:57,173.25,190.0
2568-01-27 17:17:57 - 18:19:35,828.092,running,11.498,61:38,5:21,152.667,168.0
2568-01-28 07:36:53 - 08:12:14,423.424,running,6.0,35:21,5:53,149.0,160.0
2568-01-28 16:59:07 - 17:20:04,260.573,running,4.001,20:57,5:14,140.333,163.0
2568-01-28 17:28:01 - 17:47:56,341.323,running,5.005,19:55,3:58,153.0,170.0
2568-01-29 08:04:05 - 08:35:20,347.51,running,5.0,31:15,6:15,139.667,152.0
2568-01-29 16:54:25 - 17:05:32,122.0,running,1.996,11:07,5:34,137.0,137.0
2568-01-29 17:13:34 - 17:16:22,46.195,running,0.746,2:48,3:45,,
2568-01-29 17:24:37 - 17:34:08,127.318,running,1.921,9:31,4:57,135.0,135.0
2568-01-31 17:15:49 - 17:46:06,320.896,running,5.267,30:17,5:44,129.333,145.0
