Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2568-03-01 07:26:19 - 07:32:55,61.528,running,1.117,6:36,5:54,125.0,125.0
2568-03-01 07:45:37 - 08:18:06,456.747,running,6.925,32:29,4:41,157.667,168.0
2568-03-01 17:34:05 - 18:00:07,284.033,running,5.051,26:02,5:09,139.0,148.0
2568-03-01 18:10:13 - 18:27:44,330.349,running,5.0,17:31,3:30,147.0,147.0
2568-03-01 18:35:36 - 18:38:34,34.72,running,0.504,2:58,5:53,,
2568-03-03 17:20:53 - 17:37:07,187.564,running,3.014,16:14,5:23,134.0,134.0
2568-03-04 17:48:26 - 18:14:48,281.14,running,5.025,26:22,5:14,132.333,140.0
2568-03-04 18:27:49 - 18:32:16,81.02,running,1.281,4:27,3:28,138.0,138.0
2568-03-04 18:37:17 - 18:41:55,84.639,running,1.289,4:38,3:35,154.0,154.0
2568-03-04 18:47:55 - 18:52:27,82.055,running,1.28,4:32,3:32,145.0,145.0
2568-03-04 18:58:29 - 19:02:50,78.567,running,1.291,4:21,3:22,140.0,140.0
2568-03-04 19:08:55 - 19:21:55,169.326,running,2.531,13:00,5:08,154.0,158.0
2568-03-06 18:36:33 - 19:01:22,285.735,running,5.019,24:49,4:56,140.0,157.0
2568-03-06 19:11:33 - 19:38:31,462.834,running,6.828,26:58,3:56,139.5,140.0
2568-03-08 07:15:37 - 07:26:34,124.045,running,2.252,10:57,4:51,114.0,114.0
2568-03-08 07:41:40 - 08:05:25,409.533,running,6.014,23:45,3:56,162.5,166.0
2568-03-08 17:21:30 - 17:32:13,104.653,running,1.899,10:43,5:38,138.0,138.0
2568-03-08 17:40:37 - 17:57:15,281.578,running,4.168,16:38,3:59,146.0,146.0
2568-03-10 17:54:34 - 18:19:32,288.854,running,4.6,24:58,5:25,137.5,148.0
2568-03-11 19:11:52 - 19:26:11,98.334,running (indoor),2.502,14:19,5:43,126.0,126.0
2568-03-11 19:31:35 - 19:41:37,95.813,running (indoor),2.671,10:02,3:45,157.0,157.0
2568-03-11 19:46:57 - 19:57:00,88.163,running (indoor),2.675,10:03,3:45,153.0,153.0
2568-03-11 20:05:00 - 20:15:05,87.7,running (indoor),2.684,10:05,3:45,142.0,142.0
2568-03-13 17:03:11 - 17:27:35,317.546,running,5.02,24:24,4:51,140.5,148.0
2568-03-13 17:37:15 - 17:53:36,262.927,running,4.368,16:21,3:44,156.5,177.0
2568-03-15 17:36:09 - 18:28:55,605.608,running,10.014,52:46,5:16,136.0,150.0
2568-03-16 17:54:06 - 18:07:09,146.627,running,2.506,13:03,5:12,134.0,134.0
2568-03-16 18:13:08 - 18:22:46,165.798,running,2.512,9:38,3:50,155.0,155.0
2568-03-21 18:17:30 - 18:35:27,174.245,running,3.015,17:57,5:57,120.0,132.0
2568-03-22 17:25:17 - 18:20:26,679.004,running,10.01,55:09,5:30,152.167,165.0
2568-03-24 17:12:57 - 17:36:42,312.267,running,5.017,23:45,4:44,144.5,157.0
2568-03-24 17:49:06 - 17:56:26,135.031,running,2.153,7:20,3:24,96.0,96.0
2568-03-24 18:04:09 - 18:08:33,81.759,running,1.283,4:24,3:25,,
2568-03-24 18:13:25 - 18:14:37,11.966,running (indoor),0.25,1:12,4:48,,
2568-03-24 18:18:47 - 18:20:00,20.097,running,0.412,1:13,2:57,151.0,151.0
2568-03-24 18:24:49 - 18:26:03,20.182,running,0.414,1:14,2:58,,
2568-03-24 18:30:31 - 18:36:35,71.814,running,0.807,6:04,7:31,,
2568-03-25 17:38:20 - 18:20:38,461.527,running,7.006,42:18,6:02,141.4,161.0
2568-03-29 18:25:48 - 18:49:37,298.598,running,4.601,23:49,5:10,137.0,148.0
2568-03-30 17:59:18 - 18:09:04,91.893,running,1.602,9:46,6:05,94.0,94.0
2568-03-30 18:15:07 - 18:16:32,22.834,running,0.416,1:25,3:24,,
2568-03-30 18:18:00 - 18:19:22,20.752,running,0.417,1:22,3:16,,
2568-03-30 18:21:39 - 18:22:55,20.603,running,0.413,1:16,3:04,,
2568-03-30 18:24:50 - 18:26:09,20.36,running,0.417,1:19,3:09,,
2568-03-30 18:28:59 - 18:30:17,20.58,running,0.409,1:18,3:10,152.0,152.0
2568-03-30 18:33:01 - 18:34:20,21.95,running,0.408,1:19,3:13,,
2568-03-31 17:32:31 - 18:38:19,789.467,running,11.016,65:48,5:58,148.5,160.0
