Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min)
2568-04-01 16:42:38 - 2568-04-01 17:08:31,323.343,Running,5.007,1553.000,0.000,0.500,0.500,0.000,0.000,142.500,154.000
2568-04-01 17:22:17 - 2568-04-01 17:26:34,78.075,Running,1.280,257.000,,,,,,,
2568-04-01 17:32:47 - 2568-04-01 17:37:11,81.464,Running,1.278,264.000,,,,,,,
2568-04-01 17:44:30 - 2568-04-01 17:49:12,84.718,Running,1.272,282.000,,,,,,,
2568-04-01 17:59:32 - 2568-04-01 18:00:44,18.771,Running,0.327,72.000,0.000,1.000,0.000,0.000,0.000,132.000,132.000
2568-04-01 18:06:09 - 2568-04-01 18:26:55,193.666,Running,3.006,1246.000,0.000,0.000,1.000,0.000,0.000,144.500,150.000
2568-04-02 17:27:41 - 2568-04-02 18:15:12,538.269,Running,8.009,2851.000,0.000,0.200,0.200,0.600,0.000,147.800,159.000
2568-04-03 07:14:31 - 2568-04-03 08:00:27,572.373,Running,8.004,2756.000,0.000,0.000,0.400,0.600,0.000,155.600,166.000
2568-04-03 17:31:18 - 2568-04-03 17:55:05,194.637,Running,3.235,1427.000,0.500,0.000,0.500,0.000,0.000,127.500,145.000
2568-04-03 18:02:56 - 2568-04-03 18:22:57,332.151,Running,5.015,1201.000,0.000,0.500,0.500,0.000,0.000,134.500,144.000
2568-04-03 18:31:01 - 2568-04-03 18:32:20,21.630,Running,0.411,79.000,,,,,,,
2568-04-03 18:34:43 - 2568-04-03 18:36:01,22.416,Running,0.414,78.000,,,,,,,
2568-04-03 18:38:34 - 2568-04-03 18:39:52,22.719,Running,0.419,78.000,,,,,,,
2568-04-03 18:42:53 - 2568-04-03 18:44:17,21.761,Running,0.409,84.000,,,,,,,
2568-04-03 18:47:01 - 2568-04-03 18:55:47,84.114,Running,1.317,526.000,0.000,0.000,1.000,0.000,0.000,147.000,147.000
2568-04-04 17:43:25 - 2568-04-04 18:40:48,694.208,Running,10.642,3443.000,0.000,0.167,0.500,0.333,0.000,149.667,160.000
2568-04-05 17:25:50 - 2568-04-05 17:34:28,90.740,Running,1.670,518.000,0.000,1.000,0.000,0.000,0.000,130.000,130.000
2568-04-05 17:38:40 - 2568-04-05 17:39:58,18.334,Running,0.413,78.000,,,,,,,
2568-04-05 17:41:30 - 2568-04-05 17:42:45,15.888,Running,0.422,75.000,,,,,,,
2568-04-05 17:44:10 - 2568-04-05 17:45:23,18.612,Running,0.414,73.000,,,,,,,
2568-04-05 17:46:51 - 2568-04-05 17:48:10,20.167,Running,0.439,79.000,,,,,,,
2568-04-05 17:52:19 - 2568-04-05 17:53:35,21.304,Running,0.427,76.000,,,,,,,
2568-04-05 17:55:38 - 2568-04-05 17:56:54,20.215,Running,0.420,76.000,,,,,,,
2568-04-05 17:59:19 - 2568-04-05 18:00:36,19.128,Running,0.422,77.000,0.000,0.000,1.000,0.000,0.000,147.000,147.000
2568-04-05 18:03:28 - 2568-04-05 18:04:46,21.827,Running,0.425,78.000,,,,,,,
2568-04-05 18:07:58 - 2568-04-05 18:09:16,21.835,Running,0.424,78.000,,,,,,,
2568-04-05 18:10:47 - 2568-04-05 18:12:05,22.787,Running,0.429,78.000,,,,,,,
2568-04-05 18:14:18 - 2568-04-05 18:15:36,20.811,Running,0.420,78.000,,,,,,,
2568-04-05 18:17:31 - 2568-04-05 18:18:48,20.182,Running,0.405,77.000,,,,,,,
2568-04-05 18:21:05 - 2568-04-05 18:22:23,20.625,Running,0.422,78.000,,,,,,,
2568-04-05 18:26:31 - 2568-04-05 18:27:49,21.252,Running,0.420,78.000,,,,,,,
2568-04-05 18:31:11 - 2568-04-05 18:32:29,21.738,Running,0.417,78.000,,,,,,,
2568-04-05 18:34:54 - 2568-04-05 18:36:11,21.414,Running,0.426,77.000,,,,,,,
2568-04-05 18:39:02 - 2568-04-05 18:40:20,20.413,Running,0.419,78.000,0.000,0.000,1.000,0.000,0.000,143.000,143.000
2568-04-05 18:44:29 - 2568-04-05 18:54:03,116.158,Running,1.651,574.000,0.000,0.000,1.000,0.000,0.000,151.000,151.000
2568-04-06 17:32:03 - 2568-04-06 17:59:41,216.495,Running,3.716,1658.000,0.000,1.000,0.000,0.000,0.000,123.500,130.000
2568-04-07 17:33:22 - 2568-04-07 18:29:50,714.564,Running,10.010,3388.000,0.000,0.200,0.400,0.400,0.000,150.400,164.000
2568-04-08 16:43:20 - 2568-04-08 17:08:35,336.296,Running,5.001,1515.000,0.000,0.000,0.500,0.500,0.000,149.500,161.000
2568-04-08 17:17:47 - 2568-04-08 17:20:49,53.917,Running,0.851,182.000,0.000,1.000,0.000,0.000,0.000,131.000,131.000
2568-04-08 17:24:07 - 2568-04-08 17:26:30,41.004,Running,0.644,143.000,,,,,,,
2568-04-08 17:46:17 - 2568-04-08 17:50:49,53.579,Running,0.825,272.000,0.000,0.000,1.000,0.000,0.000,138.000,138.000
2568-04-09 06:29:12 - 2568-04-09 06:43:11,161.112,Running,2.505,839.000,0.500,0.000,0.500,0.000,0.000,123.000,146.000
2568-04-09 06:51:34 - 2568-04-09 06:54:31,51.906,Running,0.845,177.000,,,,,,,
2568-04-09 06:58:34 - 2568-04-09 07:01:31,52.592,Running,0.846,177.000,0.000,0.000,1.000,0.000,0.000,137.000,137.000
2568-04-09 07:07:09 - 2568-04-09 07:10:08,53.646,Running,0.851,179.000,0.000,0.000,0.000,1.000,0.000,158.000,158.000
2568-04-10 17:39:23 - 2568-04-10 17:52:43,155.736,Running,2.542,800.000,0.500,0.000,0.500,0.000,0.000,124.000,146.000
2568-04-10 17:59:19 - 2568-04-10 18:12:46,227.795,Running,3.401,807.000,0.000,0.000,1.000,0.000,0.000,151.500,153.000
2568-04-10 18:19:08 - 2568-04-10 18:22:06,53.673,Running,0.853,178.000,0.000,0.000,1.000,0.000,0.000,147.000,147.000
2568-04-10 18:27:37 - 2568-04-10 18:30:33,52.426,Running,0.845,176.000,0.000,0.000,1.000,0.000,0.000,148.000,148.000
2568-04-11 17:32:23 - 2568-04-11 18:28:03,646.972,Running,10.012,3340.000,0.000,0.200,0.800,0.000,0.000,142.000,153.000
2568-04-12 17:22:50 - 2568-04-12 17:35:16,146.621,Running,2.595,746.000,0.000,0.000,1.000,0.000,0.000,141.000,141.000
2568-04-12 17:45:04 - 2568-04-12 17:46:15,16.172,Running,0.410,71.000,,,,,,,
2568-04-12 17:48:01 - 2568-04-12 17:49:12,17.031,Running,0.414,71.000,,,,,,,
2568-04-12 17:51:56 - 2568-04-12 17:53:08,16.539,Running,0.411,72.000,,,,,,,
2568-04-12 17:56:16 - 2568-04-12 17:57:27,18.222,Running,0.415,71.000,,,,,,,
2568-04-12 17:59:24 - 2568-04-12 18:00:38,17.947,Running,0.420,74.000,0.000,0.000,1.000,0.000,0.000,152.000,152.000
2568-04-12 18:04:01 - 2568-04-12 18:05:13,18.173,Running,0.410,72.000,,,,,,,
2568-04-12 18:10:09 - 2568-04-12 18:11:22,19.265,Running,0.411,73.000,,,,,,,
2568-04-12 18:15:21 - 2568-04-12 18:16:33,18.114,Running,0.411,72.000,,,,,,,
2568-04-12 18:20:20 - 2568-04-12 18:21:31,18.702,Running,0.405,71.000,,,,,,,
2568-04-12 18:27:48 - 2568-04-12 18:28:53,17.620,Running,0.400,65.000,,,,,,,
2568-04-12 18:31:39 - 2568-04-12 18:41:47,117.386,Running,1.499,608.000,0.000,0.000,1.000,0.000,0.000,151.000,151.000
2568-04-13 17:36:51 - 2568-04-13 18:00:32,246.877,Running,4.014,1421.000,0.333,0.000,0.667,0.000,0.000,134.333,152.000
2568-04-13 18:09:53 - 2568-04-13 18:17:32,140.111,Running,2.080,459.000,0.000,1.000,0.000,0.000,0.000,122.000,122.000
2568-04-13 18:21:59 - 2568-04-13 18:24:53,50.536,Running,0.807,174.000,,,,,,,
2568-04-14 17:37:09 - 2568-04-14 18:10:23,383.989,Running,5.711,1994.000,0.250,0.000,0.500,0.250,0.000,139.250,156.000
2568-04-15 17:09:54 - 2568-04-15 17:32:00,274.033,Running,4.009,1326.000,0.333,0.000,0.333,0.334,0.000,132.333,161.000
2568-04-16 17:47:46 - 2568-04-16 17:58:09,116.704,Running,1.958,623.000,1.000,0.000,0.000,0.000,0.000,114.000,114.000
2568-04-16 18:05:09 - 2568-04-16 18:09:00,69.749,Running,1.137,231.000,,,,,,,
2568-04-16 18:15:11 - 2568-04-16 18:16:47,27.089,Running,0.444,96.000,,,,,,,
