Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2568-06-04 07:49:56 - 08:19:49,364.449,running,5.35,29:53,5:35,132.333,160.0
2568-06-04 08:44:36 - 08:46:46,35.05,running,0.616,2:10,3:31,,
2568-06-04 08:50:11 - 08:52:24,37.278,running,0.61,2:13,3:38,,
2568-06-04 17:13:17 - 17:34:19,206.38,running,3.216,21:02,6:32,140.0,145.0
2568-06-04 17:45:26 - 17:47:42,36.3,running,0.61,2:16,3:42,,
2568-06-04 17:50:47 - 17:53:02,37.35,running,0.608,2:15,3:42,,
2568-06-04 17:56:48 - 17:59:04,37.896,running,0.602,2:16,3:45,,
2568-06-04 18:04:53 - 18:07:07,37.069,running,0.61,2:14,3:39,,
2568-06-04 18:15:29 - 18:17:44,35.75,running,0.6,2:15,3:45,,
2568-06-04 18:19:43 - 18:31:15,113.956,running,1.755,11:32,6:34,138.5,148.0
2568-06-05 17:34:50 - 18:15:26,362.988,running,5.614,40:36,7:13,135.0,144.0
2568-06-07 18:01:40 - 18:36:49,383.902,running,6.509,35:09,5:24,140.333,153.0
2568-06-08 17:40:36 - 18:42:45,777.442,running,11.382,62:09,5:27,157.0,169.0
2568-06-09 17:25:47 - 18:18:06,688.916,running,10.005,52:19,5:13,155.6,175.0
2568-06-09 18:24:23 - 18:25:51,23.805,running,0.424,1:28,3:27,,
2568-06-09 18:28:26 - 18:29:53,23.08,running,0.42,1:27,3:27,,
2568-06-09 18:32:53 - 18:34:17,22.988,running,0.421,1:24,3:19,,
2568-06-09 18:37:11 - 18:38:37,23.091,running,0.427,1:26,3:21,,
2568-06-09 18:44:15 - 18:45:39,22.845,running,0.419,1:24,3:20,,
2568-06-10 16:56:47 - 17:17:57,231.18,running,3.632,21:10,5:49,131.5,146.0
2568-06-10 17:30:20 - 17:34:54,78.294,running,1.221,4:34,3:44,,
2568-06-10 17:40:01 - 17:44:33,79.521,running,1.222,4:32,3:42,,
2568-06-10 17:50:23 - 17:54:54,79.243,running,1.22,4:31,3:42,,
2568-06-10 18:00:55 - 18:05:27,80.054,running,1.22,4:32,3:42,,
2568-06-10 18:14:05 - 18:16:19,35.957,running,0.601,2:14,3:42,,
2568-06-10 18:22:44 - 18:24:54,35.79,running,0.601,2:10,3:36,,
2568-06-10 18:29:23 - 18:30:43,21.3,running,0.418,1:20,3:11,130.0,130.0
2568-06-10 18:32:50 - 18:34:11,22.018,running,0.411,1:21,3:17,,
2568-06-10 18:35:36 - 18:54:35,196.372,running,2.599,18:59,7:18,154.5,155.0
2568-06-11 17:28:20 - 17:43:04,162.814,running,2.395,14:44,6:09,121.0,143.0
2568-06-12 07:52:02 - 08:49:57,608.655,running,10.005,57:55,5:47,139.8,151.0
2568-06-12 17:28:01 - 17:50:36,243.987,running,4.024,22:35,5:36,133.0,151.0
2568-06-12 18:00:12 - 18:30:01,485.085,running,7.011,29:49,4:15,143.333,146.0
2568-06-12 18:40:49 - 18:42:11,21.676,running,0.412,1:22,3:19,,
2568-06-12 18:45:21 - 18:46:46,22.704,running,0.436,1:25,3:14,,
2568-06-12 18:50:39 - 18:52:03,22.67,running,0.426,1:24,3:17,,
2568-06-12 18:53:29 - 18:59:01,56.031,running,0.822,5:32,6:43,,
2568-06-14 16:14:58 - 16:37:05,232.205,running,3.996,22:07,5:32,129.5,145.0
2568-06-14 16:53:23 - 16:54:46,20.106,running,0.425,1:23,3:15,,
2568-06-14 16:56:28 - 16:57:47,20.398,running,0.426,1:19,3:05,,
2568-06-14 16:59:12 - 17:00:32,21.582,running,0.436,1:20,3:03,112.0,112.0
2568-06-14 17:02:08 - 17:03:28,21.856,running,0.429,1:20,3:06,,
2568-06-14 17:05:19 - 17:06:36,20.613,running,0.434,1:17,2:57,,
2568-06-14 17:09:09 - 17:10:29,21.575,running,0.435,1:20,3:03,145.0,145.0
2568-06-14 17:13:11 - 17:14:31,21.391,running,0.432,1:20,3:05,,
2568-06-14 17:17:10 - 17:18:29,20.971,running,0.425,1:19,3:05,,
2568-06-14 17:22:09 - 17:23:28,20.821,running,0.428,1:19,3:04,,
2568-06-14 17:25:51 - 17:27:07,19.024,running,0.423,1:16,2:59,,
2568-06-14 17:27:58 - 17:35:31,85.461,running,1.133,7:33,6:39,130.0,130.0
2568-06-15 17:22:36 - 18:30:32,770.516,running,11.843,67:56,5:44,147.429,159.0
2568-06-16 18:25:39 - 19:22:00,769.821,running,11.304,56:21,4:59,159.5,179.0
2568-06-17 17:27:57 - 17:49:43,243.152,running,4.003,21:46,5:26,119.5,142.0
2568-06-17 18:01:09 - 18:05:40,79.318,running,1.219,4:31,3:42,,
2568-06-17 18:09:34 - 18:14:04,77.782,running,1.212,4:30,3:42,147.0,147.0
2568-06-17 18:20:41 - 18:25:09,80.0,running,1.207,4:28,3:42,,
2568-06-17 18:30:49 - 18:35:18,79.854,running,1.205,4:29,3:43,,
2568-06-17 18:40:36 - 18:45:06,78.684,running,1.2,4:30,3:45,,
2568-06-17 18:58:44 - 19:07:44,108.83,running,1.297,9:00,6:56,139.0,139.0
2568-06-18 17:17:12 - 17:31:24,147.208,running,2.36,14:12,6:01,125.5,144.0
2568-06-19 07:52:39 - 08:22:36,322.162,running,5.005,29:57,5:59,141.667,152.0
2568-06-19 17:24:00 - 17:47:33,267.675,running,4.369,23:33,5:23,134.5,149.0
