Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min)
2566-10-02 18:20:31 - 2566-10-02 18:39:08,183.992,Running (Indoor),3.300,1110.690,0.000,0.052,0.209,0.473,0.266,164.525,182.000
2566-10-03 18:34:49 - 2566-10-03 19:03:43,267.510,Running (Indoor),4.631,1694.955,0.000,0.083,0.180,0.403,0.334,166.159,197.000
2566-10-04 18:09:39 - 2566-10-04 18:53:54,434.123,Running (Indoor),7.388,2298.437,0.033,0.100,0.124,0.662,0.081,158.990,189.000
2566-10-05 10:06:21 - 2566-10-05 10:34:35,306.220,Running (Indoor),5.565,1674.791,0.000,0.006,0.290,0.631,0.073,160.902,183.000
2566-10-05 17:32:16 - 2566-10-05 17:40:01,80.592,Running (Indoor),1.488,462.267,0.000,0.000,0.000,0.387,0.613,176.280,188.000
2566-10-07 07:57:08 - 2566-10-07 08:17:11,179.592,Running,3.041,1059.059,0.017,0.059,0.090,0.459,0.375,167.339,179.000
2566-10-09 18:16:16 - 2566-10-09 18:46:27,290.957,Running (Indoor),5.355,1801.485,0.012,0.003,0.126,0.738,0.121,167.655,187.000
2566-10-10 07:41:58 - 2566-10-10 08:00:30,181.589,Running (Indoor),3.135,1077.189,0.028,0.000,0.319,0.653,0.000,156.487,169.000
2566-10-10 18:04:01 - 2566-10-10 18:48:12,444.711,Running (Indoor),7.471,2476.960,0.000,0.000,0.237,0.533,0.230,165.090,185.000
2566-10-11 17:46:21 - 2566-10-11 18:36:16,510.677,Running (Indoor),8.810,2861.538,0.000,0.000,0.219,0.725,0.056,164.115,178.000
2566-10-14 17:30:23 - 2566-10-14 17:58:10,253.719,Running,4.017,1190.477,0.000,0.010,0.363,0.286,0.341,162.639,186.000
2566-10-16 08:45:26 - 2566-10-16 09:12:00,289.284,Running (Indoor),4.970,1515.587,0.066,0.047,0.717,0.143,0.027,147.262,179.000
2566-10-16 17:48:37 - 2566-10-16 18:34:29,436.682,Running (Indoor),7.156,2290.701,0.017,0.260,0.343,0.358,0.022,148.659,176.000
2566-10-17 10:30:39 - 2566-10-17 11:10:05,355.838,Running (Indoor),6.020,1850.799,0.324,0.135,0.129,0.412,0.000,140.612,174.000
2566-10-17 17:32:10 - 2566-10-17 18:03:47,285.466,Running (Indoor),4.820,1482.612,0.155,0.047,0.397,0.401,0.000,146.373,174.000
2566-10-18 17:51:04 - 2566-10-18 18:39:12,516.919,Running (Indoor),9.018,2753.231,0.000,0.009,0.604,0.387,0.000,154.421,175.000
2566-10-19 09:54:16 - 2566-10-19 10:21:50,291.590,Running (Indoor),5.137,1570.435,0.000,0.026,0.674,0.300,0.000,150.638,170.000
2566-10-19 17:37:07 - 2566-10-19 19:24:24,282.060,Running (Indoor),5.067,1599.000,0.009,0.068,0.530,0.380,0.013,152.786,177.000
2566-10-21 17:57:09 - 2566-10-21 18:16:47,147.069,Running,2.090,658.899,0.132,0.272,0.186,0.362,0.048,143.814,178.000
2566-10-23 08:02:10 - 2566-10-23 08:31:26,267.240,Running,4.104,1358.784,0.000,0.201,0.213,0.586,0.000,154.657,175.000
2566-10-24 09:52:07 - 2566-10-24 10:54:48,313.824,Running (Indoor),4.614,1619.116,0.490,0.074,0.162,0.274,0.000,123.001,175.000
2566-10-24 17:45:08 - 2566-10-24 18:34:18,369.215,Running (Indoor),5.590,1862.704,0.199,0.066,0.124,0.533,0.078,151.705,184.000
2566-10-25 10:21:52 - 2566-10-25 10:52:46,147.595,Running (Indoor),2.139,749.817,0.409,0.165,0.132,0.294,0.000,129.842,168.000
2566-10-26 10:56:32 - 2566-10-26 11:47:55,316.587,Running (Indoor),5.011,1756.623,0.395,0.053,0.122,0.430,0.000,132.039,166.000
2566-10-26 18:29:00 - 2566-10-26 19:04:04,298.962,Running (Indoor),5.287,1859.290,0.066,0.042,0.532,0.302,0.058,151.034,187.000
2566-10-30 17:41:32 - 2566-10-30 18:15:11,291.367,Running,4.016,1298.729,0.000,0.000,0.314,0.313,0.373,166.435,191.000
2566-10-31 17:32:28 - 2566-10-31 18:01:14,220.253,Running,3.590,1234.876,0.000,0.032,0.154,0.626,0.188,166.377,190.000
