Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Weather: Humidity(%),Weather: Temperature(degC)
2567-02-01 13:48:53 - 2567-02-01 14:12:30,274.089,Running (Indoor),5.050,1396.626,,,0.000,0.000,0.000,0.799,0.201,170.723,181.000,13.082,57.000,33.000
2567-02-07 18:49:46 - 2567-02-07 19:05:41,178.310,Running (Indoor),3.282,934.664,,,0.000,0.000,0.000,0.257,0.743,180.958,195.000,12.753,63.000,31.000
2567-02-08 13:06:03 - 2567-02-08 13:25:49,227.831,Running (Indoor),4.223,1171.700,,,0.000,0.000,0.013,0.380,0.607,174.996,186.000,12.971,53.000,34.000
2567-02-10 18:19:25 - 2567-02-10 18:42:51,265.494,Running,5.030,1371.920,5.576,3.860,0.000,0.000,0.000,0.569,0.431,174.502,188.000,12.918,,
2567-02-12 18:00:27 - 2567-02-12 18:23:52,273.777,Running (Indoor),5.050,1403.518,,,0.000,0.000,0.018,0.918,0.064,169.039,178.000,13.026,46.000,31.000
2567-02-13 18:06:05 - 2567-02-13 18:29:23,273.412,Running (Indoor),5.041,1374.843,,,0.000,0.000,0.000,0.758,0.242,174.297,180.000,13.234,39.000,32.000
2567-02-14 17:47:38 - 2567-02-14 18:11:13,273.596,Running (Indoor),5.047,1395.830,,,0.000,0.000,0.004,0.989,0.007,168.353,177.000,13.061,37.000,33.000
2567-02-15 13:30:52 - 2567-02-15 13:54:15,274.209,Running (Indoor),5.031,1379.503,,,0.000,0.000,0.000,0.870,0.130,172.549,182.000,13.228,51.000,35.000
2567-02-17 17:53:38 - 2567-02-17 18:18:46,287.130,Running,5.367,1481.084,5.436,3.799,0.000,0.000,0.000,0.409,0.591,178.981,188.000,12.948,,
2567-02-17 18:24:30 - 2567-02-17 18:28:02,22.642,Running,0.399,76.541,5.054,3.949,0.000,0.000,0.040,0.840,0.120,166.520,194.000,18.975,,
2567-02-19 18:59:51 - 2567-02-19 19:15:01,166.966,Running (Indoor),3.113,908.137,,,0.000,0.000,0.011,0.764,0.225,169.940,178.000,12.388,73.000,29.000
2567-02-21 17:51:20 - 2567-02-21 18:16:15,272.680,Running (Indoor),5.045,1493.466,,,0.000,0.000,0.003,0.341,0.656,176.870,190.000,12.271,59.000,32.000
2567-02-24 17:45:56 - 2567-02-24 18:11:57,295.417,Running,5.479,1561.141,5.656,3.802,0.000,0.000,0.013,0.101,0.886,186.597,201.000,12.667,,
2567-02-25 17:51:05 - 2567-02-25 18:23:58,377.729,Running,7.043,1917.996,5.512,3.882,0.000,0.000,0.000,0.129,0.871,186.358,198.000,13.118,,
2567-02-27 19:02:35 - 2567-02-27 19:17:12,165.444,Running (Indoor),3.041,864.995,,,0.000,0.000,0.000,1.000,0.000,170.239,175.000,12.802,57.000,32.000
2567-02-28 18:15:58 - 2567-02-28 18:39:40,271.163,Running (Indoor),5.021,1400.433,,,0.000,0.000,0.000,0.459,0.541,177.660,190.000,12.922,64.000,31.000
