Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Ascended(m),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg)
2567-06-01 18:24:04 - 2567-06-01 19:08:52,377.843,Running,7.030,2116.404,0.250,7.193,4.663,0.002,0.076,0.156,0.429,0.337,166.190,194.000,12.026
2567-06-03 18:09:44 - 2567-06-03 18:38:11,264.074,Running,5.029,1362.611,,5.342,3.955,0.000,0.009,0.158,0.330,0.503,173.731,198.000,12.946
2567-06-03 18:42:59 - 2567-06-03 18:49:03,55.494,Running,1.027,264.085,0.570,5.064,3.995,0.000,0.000,0.033,0.700,0.267,170.700,185.000,14.139
2567-06-04 18:17:25 - 2567-06-04 19:23:41,456.299,Running,8.015,2640.163,0.500,5.352,3.732,0.091,0.154,0.139,0.549,0.067,153.628,181.000,11.676
2567-06-06 18:01:44 - 2567-06-06 18:05:33,53.125,Running,1.041,229.247,0.520,5.209,3.977,0.000,0.000,0.028,0.111,0.861,183.361,190.000,16.073
2567-06-06 18:10:14 - 2567-06-06 18:18:18,56.812,Running,1.046,232.919,2.460,5.620,3.962,0.000,0.022,0.283,0.174,0.521,170.359,195.000,16.257
2567-06-06 18:20:09 - 2567-06-06 18:28:24,55.816,Running,1.027,236.335,,5.328,3.976,0.000,0.000,0.362,0.238,0.400,167.375,194.000,15.943
2567-06-06 18:30:56 - 2567-06-06 18:39:22,56.511,Running,1.034,238.696,,5.306,3.940,0.000,0.000,0.631,0.246,0.123,158.140,195.000,15.750
2567-06-06 18:41:13 - 2567-06-06 18:51:51,56.913,Running,1.045,236.225,2.030,5.140,3.874,0.000,0.000,0.700,0.225,0.075,151.475,196.000,16.012
2567-06-06 18:52:36 - 2567-06-06 19:14:27,56.453,Running,1.031,238.571,2.650,4.994,3.961,0.014,0.825,0.055,0.037,0.069,135.514,192.000,15.818
