Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min)
2568-02-01 07:29:49 - 2568-02-01 08:10:41,595.265,Running,9.013,2452.000,0.715,0.000,0.071,0.214,0.000,102.143,174.000
2568-02-01 17:11:13 - 2568-02-01 17:29:46,186.611,Running,3.003,1113.000,0.000,1.000,0.000,0.000,0.000,128.000,128.000
2568-02-01 17:43:44 - 2568-02-01 18:04:49,254.994,Running,3.543,1265.000,0.000,0.500,0.000,0.500,0.000,150.000,165.000
2568-02-01 18:15:35 - 2568-02-01 18:36:53,247.639,Running,3.522,1278.000,0.000,0.000,0.500,0.500,0.000,150.000,156.000
2568-02-01 18:37:53 - 2568-02-01 18:45:30,76.236,Running,1.000,457.000,0.000,0.000,0.000,1.000,0.000,158.000,158.000
2568-02-02 16:47:02 - 2568-02-02 17:30:19,484.832,Running,7.435,2597.000,0.000,0.200,0.600,0.200,0.000,146.000,157.000
2568-02-03 16:32:00 - 2568-02-03 17:05:04,387.966,Running,5.497,1984.000,0.000,0.333,0.334,0.333,0.000,144.667,158.000
2568-02-04 17:22:27 - 2568-02-04 17:47:20,311.517,Running,5.000,1493.000,0.000,0.000,1.000,0.000,0.000,150.500,155.000
2568-02-04 18:01:53 - 2568-02-04 18:06:17,77.509,Running,1.282,264.000,,,,,,,
2568-02-04 18:10:18 - 2568-02-04 18:14:50,77.761,Running,1.283,272.000,,,,,,,
2568-02-04 18:19:17 - 2568-02-04 18:23:43,78.521,Running,1.290,266.000,0.000,0.000,1.000,0.000,0.000,145.000,145.000
2568-02-04 18:29:58 - 2568-02-04 18:34:37,81.826,Running,1.300,279.000,0.000,0.000,1.000,0.000,0.000,153.000,153.000
2568-02-04 18:45:55 - 2568-02-04 18:50:37,82.017,Running,1.285,282.000,0.000,1.000,0.000,0.000,0.000,135.000,135.000
2568-02-04 18:56:36 - 2568-02-04 19:01:19,82.104,Running,1.301,283.000,0.000,0.000,1.000,0.000,0.000,136.000,136.000
2568-02-04 19:05:46 - 2568-02-04 19:10:38,84.752,Running,1.283,292.000,0.000,0.000,1.000,0.000,0.000,145.000,145.000
2568-02-04 19:16:06 - 2568-02-04 19:21:11,85.587,Running,1.278,305.000,0.000,0.000,1.000,0.000,0.000,144.000,144.000
