Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min)
2568-03-01 07:26:19 - 2568-03-01 07:32:55,61.528,Running,1.117,396.000,0.000,1.000,0.000,0.000,0.000,125.000,125.000
2568-03-01 07:45:37 - 2568-03-01 08:18:06,456.747,Running,6.925,1949.000,0.000,0.000,0.333,0.667,0.000,157.667,168.000
2568-03-01 17:33:28 - 2568-03-01 17:33:38,0.271,Running,0.000,10.000,,,,,,,
2568-03-01 17:34:05 - 2568-03-01 18:00:07,284.033,Running,5.051,1562.000,0.000,0.333,0.667,0.000,0.000,139.000,148.000
2568-03-01 18:10:13 - 2568-03-01 18:27:44,330.349,Running,5.000,1051.000,0.000,0.000,1.000,0.000,0.000,147.000,147.000
2568-03-01 18:35:36 - 2568-03-01 18:38:34,34.720,Running,0.504,178.000,,,,,,,
2568-03-03 17:20:53 - 2568-03-03 17:37:07,187.564,Running,3.014,974.000,0.000,1.000,0.000,0.000,0.000,134.000,134.000
2568-03-04 17:48:26 - 2568-03-04 18:14:48,281.140,Running,5.025,1582.000,0.000,0.667,0.333,0.000,0.000,132.333,140.000
2568-03-04 18:27:49 - 2568-03-04 18:32:16,81.020,Running,1.281,267.000,0.000,0.000,1.000,0.000,0.000,138.000,138.000
2568-03-04 18:37:17 - 2568-03-04 18:41:55,84.639,Running,1.289,278.000,0.000,0.000,1.000,0.000,0.000,154.000,154.000
2568-03-04 18:47:55 - 2568-03-04 18:52:27,82.055,Running,1.280,272.000,0.000,0.000,1.000,0.000,0.000,145.000,145.000
2568-03-04 18:58:29 - 2568-03-04 19:02:50,78.567,Running,1.291,261.000,0.000,0.000,1.000,0.000,0.000,140.000,140.000
2568-03-04 19:08:55 - 2568-03-04 19:21:55,169.326,Running,2.531,780.000,0.000,0.000,0.500,0.500,0.000,154.000,158.000
2568-03-06 18:36:33 - 2568-03-06 19:01:22,285.735,Running,5.019,1489.000,0.000,0.333,0.334,0.333,0.000,140.000,157.000
2568-03-06 19:11:33 - 2568-03-06 19:38:31,462.834,Running,6.828,1618.000,0.000,0.000,1.000,0.000,0.000,139.500,140.000
2568-03-08 07:15:37 - 2568-03-08 07:26:34,124.045,Running,2.252,657.000,1.000,0.000,0.000,0.000,0.000,114.000,114.000
2568-03-08 07:41:40 - 2568-03-08 08:05:25,409.533,Running,6.014,1425.000,0.000,0.000,0.000,1.000,0.000,162.500,166.000
2568-03-08 17:21:30 - 2568-03-08 17:32:13,104.653,Running,1.899,643.000,0.000,0.000,1.000,0.000,0.000,138.000,138.000
2568-03-08 17:40:37 - 2568-03-08 17:57:15,281.578,Running,4.168,998.000,0.000,0.000,1.000,0.000,0.000,146.000,146.000
2568-03-10 17:54:34 - 2568-03-10 18:19:32,288.854,Running,4.600,1498.000,0.000,0.500,0.500,0.000,0.000,137.500,148.000
2568-03-11 19:11:52 - 2568-03-11 19:26:11,98.334,Running (Indoor),2.502,859.000,0.000,1.000,0.000,0.000,0.000,126.000,126.000
2568-03-11 19:31:35 - 2568-03-11 19:41:37,95.813,Running (Indoor),2.671,602.000,0.000,0.000,0.000,1.000,0.000,157.000,157.000
2568-03-11 19:46:57 - 2568-03-11 19:57:00,88.163,Running (Indoor),2.675,603.000,0.000,0.000,1.000,0.000,0.000,153.000,153.000
2568-03-11 20:05:00 - 2568-03-11 20:15:05,87.700,Running (Indoor),2.684,605.000,0.000,0.000,1.000,0.000,0.000,142.000,142.000
2568-03-13 17:03:11 - 2568-03-13 17:27:35,317.546,Running,5.020,1464.000,0.000,0.500,0.500,0.000,0.000,140.500,148.000
2568-03-13 17:37:15 - 2568-03-13 17:53:36,262.927,Running,4.368,981.000,0.000,0.000,0.500,0.000,0.500,156.500,177.000
2568-03-15 17:36:09 - 2568-03-15 18:28:55,605.608,Running,10.014,3166.000,0.200,0.200,0.600,0.000,0.000,136.000,150.000
2568-03-16 17:54:06 - 2568-03-16 18:07:09,146.627,Running,2.506,783.000,0.000,1.000,0.000,0.000,0.000,134.000,134.000
2568-03-16 18:13:08 - 2568-03-16 18:22:46,165.798,Running,2.512,578.000,0.000,0.000,1.000,0.000,0.000,155.000,155.000
2568-03-21 18:17:30 - 2568-03-21 18:35:27,174.245,Running,3.015,1077.000,0.500,0.500,0.000,0.000,0.000,120.000,132.000
2568-03-22 17:25:17 - 2568-03-22 18:20:26,679.004,Running,10.010,3309.000,0.000,0.167,0.333,0.500,0.000,152.167,165.000
2568-03-24 17:12:57 - 2568-03-24 17:36:42,312.267,Running,5.017,1425.000,0.000,0.500,0.000,0.500,0.000,144.500,157.000
2568-03-24 17:49:06 - 2568-03-24 17:56:26,135.031,Running,2.153,440.000,1.000,0.000,0.000,0.000,0.000,96.000,96.000
2568-03-24 18:04:09 - 2568-03-24 18:08:33,81.759,Running,1.283,264.000,,,,,,,
2568-03-24 18:13:25 - 2568-03-24 18:14:37,11.966,Running (Indoor),0.250,72.000,,,,,,,
2568-03-24 18:18:47 - 2568-03-24 18:20:00,20.097,Running,0.412,73.000,0.000,0.000,1.000,0.000,0.000,151.000,151.000
2568-03-24 18:24:49 - 2568-03-24 18:26:03,20.182,Running,0.414,74.000,,,,,,,
2568-03-24 18:30:31 - 2568-03-24 18:36:35,71.814,Running,0.807,364.000,,,,,,,
2568-03-25 17:38:20 - 2568-03-25 18:20:38,461.527,Running,7.006,2538.000,0.000,0.400,0.400,0.200,0.000,141.400,161.000
2568-03-29 18:25:48 - 2568-03-29 18:49:37,298.598,Running,4.601,1429.000,0.000,0.500,0.500,0.000,0.000,137.000,148.000
2568-03-30 17:59:18 - 2568-03-30 18:09:04,91.893,Running,1.602,586.000,1.000,0.000,0.000,0.000,0.000,94.000,94.000
2568-03-30 18:15:07 - 2568-03-30 18:16:32,22.834,Running,0.416,85.000,,,,,,,
2568-03-30 18:18:00 - 2568-03-30 18:19:22,20.752,Running,0.417,82.000,,,,,,,
2568-03-30 18:21:39 - 2568-03-30 18:22:55,20.603,Running,0.413,76.000,,,,,,,
2568-03-30 18:24:50 - 2568-03-30 18:26:09,20.360,Running,0.417,79.000,,,,,,,
2568-03-30 18:28:59 - 2568-03-30 18:30:17,20.580,Running,0.409,78.000,0.000,0.000,1.000,0.000,0.000,152.000,152.000
2568-03-30 18:33:01 - 2568-03-30 18:34:20,21.950,Running,0.408,79.000,,,,,,,
2568-03-31 17:32:31 - 2568-03-31 18:38:19,789.467,Running,11.016,3948.000,0.000,0.167,0.500,0.333,0.000,148.500,160.000
