Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min)
2568-05-06 17:53:48 - 2568-05-06 18:17:55,301.160,Running,4.009,1447.000,0.000,0.500,0.000,0.500,0.000,143.000,156.000
2568-05-07 17:55:24 - 2568-05-07 18:30:36,430.887,Running,6.011,2112.000,0.000,0.250,0.250,0.500,0.000,150.000,165.000
2568-05-09 17:33:47 - 2568-05-09 17:57:42,270.379,Running,3.839,1435.000,0.000,0.500,0.500,0.000,0.000,140.500,150.000
2568-05-09 18:08:11 - 2568-05-09 18:09:35,22.123,Running,0.413,84.000,,,,,,,
2568-05-09 18:11:03 - 2568-05-09 18:12:25,21.280,Running,0.419,82.000,,,,,,,
2568-05-09 18:14:04 - 2568-05-09 18:15:23,20.094,Running,0.412,79.000,,,,,,,
2568-05-09 18:17:05 - 2568-05-09 18:18:23,20.494,Running,0.415,78.000,,,,,,,
2568-05-09 18:20:18 - 2568-05-09 18:21:39,21.152,Running,0.422,81.000,,,,,,,
2568-05-09 18:25:24 - 2568-05-09 18:26:45,14.394,Running,0.229,81.000,,,,,,,
2568-05-10 07:29:59 - 2568-05-10 07:50:40,198.047,Running,3.117,1241.000,0.333,0.000,0.667,0.000,0.000,129.667,146.000
2568-05-10 08:03:13 - 2568-05-10 08:05:14,33.240,Running,0.617,121.000,,,,,,,
2568-05-10 08:07:57 - 2568-05-10 08:09:59,34.137,Running,0.610,122.000,,,,,,,
2568-05-11 17:38:27 - 2568-05-11 17:52:04,161.282,Running,2.499,817.000,0.000,0.500,0.500,0.000,0.000,139.000,154.000
2568-05-11 18:09:47 - 2568-05-11 18:10:59,18.138,Running,0.400,72.000,1.000,0.000,0.000,0.000,0.000,110.000,110.000
2568-05-11 18:13:04 - 2568-05-11 18:14:15,18.927,Running,0.400,71.000,,,,,,,
2568-05-11 18:16:15 - 2568-05-11 18:17:26,18.108,Running,0.400,71.000,,,,,,,
2568-05-11 18:20:57 - 2568-05-11 18:22:14,21.098,Running,0.400,77.000,,,,,,,
2568-05-13 17:19:08 - 2568-05-13 17:35:08,199.660,Running,2.914,960.000,0.500,0.000,0.500,0.000,0.000,131.500,155.000
2568-05-13 17:49:01 - 2568-05-13 17:52:04,52.154,Running,0.840,183.000,1.000,0.000,0.000,0.000,0.000,114.000,114.000
2568-05-13 17:55:07 - 2568-05-13 17:58:07,50.868,Running,0.854,180.000,,,,,,,
2568-05-13 18:02:06 - 2568-05-13 18:05:06,51.083,Running,0.848,180.000,,,,,,,
2568-05-13 18:10:20 - 2568-05-13 18:13:21,52.098,Running,0.854,181.000,,,,,,,
2568-05-13 18:20:39 - 2568-05-13 18:23:42,53.493,Running,0.853,183.000,,,,,,,
2568-05-13 18:28:20 - 2568-05-13 18:30:35,25.659,Running,0.395,135.000,0.000,0.000,0.000,1.000,0.000,157.000,157.000
2568-05-15 17:16:53 - 2568-05-15 17:34:01,218.451,Running,3.158,1028.000,0.000,0.500,0.000,0.500,0.000,147.500,160.000
2568-05-15 17:40:38 - 2568-05-15 17:41:56,20.279,Running,0.415,78.000,,,,,,,
2568-05-15 17:44:07 - 2568-05-15 17:45:25,19.999,Running,0.417,78.000,,,,,,,
2568-05-15 17:48:19 - 2568-05-15 17:49:38,20.403,Running,0.414,79.000,,,,,,,
2568-05-15 17:53:07 - 2568-05-15 17:54:24,19.903,Running,0.415,77.000,,,,,,,
2568-05-15 17:58:08 - 2568-05-15 17:59:24,19.909,Running,0.413,76.000,,,,,,,
2568-05-15 18:03:55 - 2568-05-15 18:05:15,21.562,Running,0.434,80.000,,,,,,,
2568-05-15 18:09:15 - 2568-05-15 18:10:33,21.440,Running,0.420,78.000,0.000,0.000,0.000,1.000,0.000,156.000,156.000
2568-05-15 18:17:38 - 2568-05-15 18:18:58,21.469,Running,0.426,80.000,,,,,,,
2568-05-15 18:23:31 - 2568-05-15 18:24:50,21.984,Running,0.420,79.000,,,,,,,
2568-05-15 18:28:52 - 2568-05-15 18:30:11,21.315,Running,0.422,79.000,0.000,0.000,1.000,0.000,0.000,152.000,152.000
2568-05-15 18:34:14 - 2568-05-15 18:35:16,10.258,Running,0.129,62.000,,,,,,,
2568-05-16 07:51:35 - 2568-05-16 08:27:46,425.711,Running,6.006,2171.000,0.000,0.000,0.333,0.667,0.000,154.667,160.000
