Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min)
2568-06-04 07:49:56 - 2568-06-04 08:19:49,364.449,Running,5.350,1793.000,0.333,0.000,0.333,0.334,0.000,132.333,160.000
2568-06-04 08:44:36 - 2568-06-04 08:46:46,35.050,Running,0.616,130.000,,,,,,,
2568-06-04 08:50:11 - 2568-06-04 08:52:24,37.278,Running,0.610,133.000,,,,,,,
2568-06-04 17:13:17 - 2568-06-04 17:34:19,206.380,Running,3.216,1262.000,0.000,0.500,0.500,0.000,0.000,140.000,145.000
2568-06-04 17:45:26 - 2568-06-04 17:47:42,36.300,Running,0.610,136.000,,,,,,,
2568-06-04 17:50:47 - 2568-06-04 17:53:02,37.350,Running,0.608,135.000,,,,,,,
2568-06-04 17:56:48 - 2568-06-04 17:59:04,37.896,Running,0.602,136.000,,,,,,,
2568-06-04 18:04:53 - 2568-06-04 18:07:07,37.069,Running,0.610,134.000,,,,,,,
2568-06-04 18:15:29 - 2568-06-04 18:17:44,35.750,Running,0.600,135.000,,,,,,,
2568-06-04 18:19:43 - 2568-06-04 18:31:15,113.956,Running,1.755,692.000,0.000,0.500,0.500,0.000,0.000,138.500,148.000
2568-06-05 17:34:50 - 2568-06-05 18:15:26,362.988,Running,5.614,2436.000,0.000,0.500,0.500,0.000,0.000,135.000,144.000
2568-06-07 18:01:40 - 2568-06-07 18:36:49,383.902,Running,6.509,2109.000,0.000,0.333,0.667,0.000,0.000,140.333,153.000
2568-06-08 17:40:36 - 2568-06-08 18:42:45,777.442,Running,11.382,3729.000,0.000,0.000,0.333,0.667,0.000,157.000,169.000
2568-06-09 17:25:47 - 2568-06-09 18:18:06,688.916,Running,10.005,3139.000,0.000,0.200,0.200,0.600,0.000,155.600,175.000
2568-06-09 18:24:23 - 2568-06-09 18:25:51,23.805,Running,0.424,88.000,,,,,,,
2568-06-09 18:28:26 - 2568-06-09 18:29:53,23.080,Running,0.420,87.000,,,,,,,
2568-06-09 18:32:53 - 2568-06-09 18:34:17,22.988,Running,0.421,84.000,,,,,,,
2568-06-09 18:37:11 - 2568-06-09 18:38:37,23.091,Running,0.427,86.000,,,,,,,
2568-06-09 18:44:15 - 2568-06-09 18:45:39,22.845,Running,0.419,84.000,,,,,,,
2568-06-10 16:56:47 - 2568-06-10 17:17:57,231.180,Running,3.632,1270.000,0.000,0.500,0.500,0.000,0.000,131.500,146.000
2568-06-10 17:30:20 - 2568-06-10 17:34:54,78.294,Running,1.221,274.000,,,,,,,
2568-06-10 17:40:01 - 2568-06-10 17:44:33,79.521,Running,1.222,272.000,,,,,,,
2568-06-10 17:50:23 - 2568-06-10 17:54:54,79.243,Running,1.220,271.000,,,,,,,
2568-06-10 18:00:55 - 2568-06-10 18:05:27,80.054,Running,1.220,272.000,,,,,,,
2568-06-10 18:14:05 - 2568-06-10 18:16:19,35.957,Running,0.601,134.000,,,,,,,
2568-06-10 18:22:44 - 2568-06-10 18:24:54,35.790,Running,0.601,130.000,,,,,,,
2568-06-10 18:29:23 - 2568-06-10 18:30:43,21.300,Running,0.418,80.000,0.000,1.000,0.000,0.000,0.000,130.000,130.000
2568-06-10 18:32:50 - 2568-06-10 18:34:11,22.018,Running,0.411,81.000,,,,,,,
2568-06-10 18:35:36 - 2568-06-10 18:54:35,196.372,Running,2.599,1139.000,0.000,0.000,1.000,0.000,0.000,154.500,155.000
2568-06-11 17:28:20 - 2568-06-11 17:43:04,162.814,Running,2.395,884.000,0.500,0.000,0.500,0.000,0.000,121.000,143.000
2568-06-12 07:52:02 - 2568-06-12 08:49:57,608.655,Running,10.005,3475.000,0.000,0.200,0.800,0.000,0.000,139.800,151.000
2568-06-12 17:28:01 - 2568-06-12 17:50:36,243.987,Running,4.024,1355.000,0.333,0.000,0.667,0.000,0.000,133.000,151.000
2568-06-12 18:00:12 - 2568-06-12 18:30:01,485.085,Running,7.011,1789.000,0.000,0.000,1.000,0.000,0.000,143.333,146.000
2568-06-12 18:40:49 - 2568-06-12 18:42:11,21.676,Running,0.412,82.000,,,,,,,
2568-06-12 18:45:21 - 2568-06-12 18:46:46,22.704,Running,0.436,85.000,,,,,,,
2568-06-12 18:50:39 - 2568-06-12 18:52:03,22.670,Running,0.426,84.000,,,,,,,
2568-06-12 18:53:29 - 2568-06-12 18:59:01,56.031,Running,0.822,332.000,,,,,,,
2568-06-14 16:14:58 - 2568-06-14 16:37:05,232.205,Running,3.996,1327.000,0.500,0.000,0.500,0.000,0.000,129.500,145.000
2568-06-14 16:53:23 - 2568-06-14 16:54:46,20.106,Running,0.425,83.000,,,,,,,
2568-06-14 16:56:28 - 2568-06-14 16:57:47,20.398,Running,0.426,79.000,,,,,,,
2568-06-14 16:59:12 - 2568-06-14 17:00:32,21.582,Running,0.436,80.000,1.000,0.000,0.000,0.000,0.000,112.000,112.000
2568-06-14 17:02:08 - 2568-06-14 17:03:28,21.856,Running,0.429,80.000,,,,,,,
2568-06-14 17:05:19 - 2568-06-14 17:06:36,20.613,Running,0.434,77.000,,,,,,,
2568-06-14 17:09:09 - 2568-06-14 17:10:29,21.575,Running,0.435,80.000,0.000,0.000,1.000,0.000,0.000,145.000,145.000
2568-06-14 17:13:11 - 2568-06-14 17:14:31,21.391,Running,0.432,80.000,,,,,,,
2568-06-14 17:17:10 - 2568-06-14 17:18:29,20.971,Running,0.425,79.000,,,,,,,
2568-06-14 17:22:09 - 2568-06-14 17:23:28,20.821,Running,0.428,79.000,,,,,,,
2568-06-14 17:25:51 - 2568-06-14 17:27:07,19.024,Running,0.423,76.000,,,,,,,
2568-06-14 17:27:58 - 2568-06-14 17:35:31,85.461,Running,1.133,453.000,0.000,1.000,0.000,0.000,0.000,130.000,130.000
2568-06-15 17:22:36 - 2568-06-15 18:30:32,770.516,Running,11.843,4076.000,0.000,0.143,0.714,0.143,0.000,147.429,159.000
2568-06-16 18:25:39 - 2568-06-16 19:22:00,769.821,Running,11.304,3381.000,0.000,0.167,0.167,0.499,0.167,159.500,179.000
2568-06-17 17:27:57 - 2568-06-17 17:49:43,243.152,Running,4.003,1306.000,0.500,0.000,0.500,0.000,0.000,119.500,142.000
2568-06-17 18:01:09 - 2568-06-17 18:05:40,79.318,Running,1.219,271.000,,,,,,,
2568-06-17 18:09:34 - 2568-06-17 18:14:04,77.782,Running,1.212,270.000,0.000,0.000,1.000,0.000,0.000,147.000,147.000
2568-06-17 18:20:41 - 2568-06-17 18:25:09,80.000,Running,1.207,268.000,,,,,,,
2568-06-17 18:30:49 - 2568-06-17 18:35:18,79.854,Running,1.205,269.000,,,,,,,
2568-06-17 18:40:36 - 2568-06-17 18:45:06,78.684,Running,1.200,270.000,,,,,,,
2568-06-17 18:58:44 - 2568-06-17 19:07:44,108.830,Running,1.297,540.000,0.000,0.000,1.000,0.000,0.000,139.000,139.000
2568-06-18 17:17:12 - 2568-06-18 17:31:24,147.208,Running,2.360,852.000,0.500,0.000,0.500,0.000,0.000,125.500,144.000
2568-06-19 07:52:39 - 2568-06-19 08:22:36,322.162,Running,5.005,1797.000,0.000,0.333,0.667,0.000,0.000,141.667,152.000
2568-06-19 17:24:00 - 2568-06-19 17:47:33,267.675,Running,4.369,1413.000,0.000,0.500,0.500,0.000,0.000,134.500,149.000
2568-06-19 17:55:24 - 2568-06-19 18:15:19,346.900,Running,5.006,1195.000,0.000,0.500,0.500,0.000,0.000,142.000,149.000
2568-06-19 18:28:16 - 2568-06-19 18:29:35,21.399,Running,0.413,79.000,,,,,,,
