Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min)
2568-07-01 20:52:53 - 2568-07-01 21:04:59,86.296,Running (Indoor),2.215,726.000,0.000,1.000,0.000,0.000,0.000,127.000,127.000
2568-07-01 21:08:27 - 2568-07-01 21:18:34,92.882,Running (Indoor),2.693,607.000,0.000,0.000,1.000,0.000,0.000,141.000,141.000
2568-07-01 21:25:37 - 2568-07-01 21:35:44,84.295,Running (Indoor),2.693,607.000,0.000,0.000,1.000,0.000,0.000,152.000,152.000
2568-07-01 21:46:01 - 2568-07-01 21:49:48,24.235,Running (Indoor),1.004,227.000,,,,,,,
2568-07-01 21:54:02 - 2568-07-01 22:02:17,62.410,Running (Indoor),1.400,495.000,0.000,0.000,1.000,0.000,0.000,141.000,141.000
2568-07-02 12:59:01 - 2568-07-02 13:27:28,210.372,Running (Indoor),5.213,1707.000,0.333,0.000,0.667,0.000,0.000,129.000,144.000
2568-07-03 18:39:41 - 2568-07-03 18:49:25,140.973,Running,2.527,584.000,1.000,0.000,0.000,0.000,0.000,113.000,113.000
2568-07-03 18:57:52 - 2568-07-03 18:59:03,16.864,Running,0.417,71.000,,,,,,,
2568-07-03 19:01:00 - 2568-07-03 19:02:12,19.298,Running,0.420,72.000,,,,,,,
2568-07-03 19:04:39 - 2568-07-03 19:05:52,19.852,Running,0.418,73.000,,,,,,,
2568-07-03 19:08:26 - 2568-07-03 19:09:39,19.188,Running,0.425,73.000,,,,,,,
2568-07-03 19:12:41 - 2568-07-03 19:13:53,19.869,Running,0.419,72.000,,,,,,,
2568-07-03 19:17:53 - 2568-07-03 19:19:05,18.140,Running,0.421,72.000,,,,,,,
2568-07-03 19:23:11 - 2568-07-03 19:24:22,19.287,Running,0.420,71.000,,,,,,,
2568-07-03 19:27:46 - 2568-07-03 19:28:58,18.528,Running,0.420,72.000,,,,,,,
2568-07-03 19:32:46 - 2568-07-03 19:33:57,19.661,Running,0.424,71.000,,,,,,,
2568-07-03 19:39:25 - 2568-07-03 19:40:37,18.309,Running,0.414,72.000,0.000,0.000,1.000,0.000,0.000,144.000,144.000
2568-07-03 19:51:29 - 2568-07-03 20:04:13,131.368,Running,1.807,764.000,0.000,0.000,1.000,0.000,0.000,146.000,146.000
2568-07-04 17:39:54 - 2568-07-04 18:39:55,577.360,Running,10.340,3601.000,0.167,0.500,0.333,0.000,0.000,126.333,140.000
2568-07-05 08:00:10 - 2568-07-05 09:06:13,693.588,Running,10.932,3963.000,0.000,0.333,0.667,0.000,0.000,138.667,152.000
2568-07-05 17:17:11 - 2568-07-05 17:48:38,297.910,Running,5.199,1887.000,0.333,0.000,0.667,0.000,0.000,130.000,141.000
2568-07-05 17:57:02 - 2568-07-05 18:20:18,411.202,Running,6.004,1396.000,0.000,0.667,0.333,0.000,0.000,132.333,148.000
2568-07-05 18:32:28 - 2568-07-05 18:34:32,35.706,Running,0.598,124.000,,,,,,,
2568-07-05 18:36:50 - 2568-07-05 18:53:06,171.176,Running,2.402,976.000,0.000,0.500,0.500,0.000,0.000,138.500,142.000
2568-07-06 17:28:20 - 2568-07-06 18:31:27,842.831,Running,12.795,3787.000,0.143,0.000,0.286,0.428,0.143,154.714,176.000
2568-07-07 17:52:34 - 2568-07-07 18:47:36,642.915,Running,10.001,3302.000,0.000,0.200,0.400,0.400,0.000,147.600,162.000
2568-07-08 18:28:09 - 2568-07-08 18:51:46,231.919,Running,4.506,1417.000,0.334,0.333,0.333,0.000,0.000,131.000,151.000
2568-07-08 18:59:32 - 2568-07-08 19:03:53,76.732,Running,1.221,261.000,0.000,1.000,0.000,0.000,0.000,117.000,117.000
2568-07-08 19:09:07 - 2568-07-08 19:13:22,75.577,Running,1.220,255.000,0.000,0.000,1.000,0.000,0.000,153.000,153.000
2568-07-10 08:12:37 - 2568-07-10 09:10:24,727.476,Running,11.096,3467.000,0.000,0.167,0.333,0.500,0.000,153.167,171.000
2568-07-10 17:12:29 - 2568-07-10 17:35:33,267.138,Running,4.396,1384.000,0.000,0.500,0.500,0.000,0.000,140.500,150.000
2568-07-10 17:52:05 - 2568-07-10 17:53:27,21.683,Running,0.412,82.000,,,,,,,
2568-07-10 17:55:16 - 2568-07-10 17:56:38,22.487,Running,0.410,82.000,,,,,,,
2568-07-10 17:58:19 - 2568-07-10 17:59:40,21.460,Running,0.410,81.000,,,,,,,
2568-07-10 18:01:52 - 2568-07-10 18:03:14,18.968,Running,0.414,82.000,,,,,,,
2568-07-10 18:05:46 - 2568-07-10 18:07:06,22.390,Running,0.410,80.000,,,,,,,
2568-07-10 18:08:56 - 2568-07-10 18:10:20,19.733,Running,0.418,84.000,0.000,0.000,1.000,0.000,0.000,147.000,147.000
2568-07-10 18:12:05 - 2568-07-10 18:13:28,22.669,Running,0.417,83.000,,,,,,,
2568-07-10 18:15:42 - 2568-07-10 18:17:02,19.538,Running,0.405,80.000,,,,,,,
2568-07-10 18:19:15 - 2568-07-10 18:20:36,21.547,Running,0.411,81.000,0.000,0.000,1.000,0.000,0.000,148.000,148.000
2568-07-10 18:23:58 - 2568-07-10 18:25:21,22.132,Running,0.423,83.000,,,,,,,
2568-07-10 18:27:21 - 2568-07-10 18:28:42,21.865,Running,0.413,81.000,,,,,,,
2568-07-10 18:30:48 - 2568-07-10 18:32:10,22.114,Running,0.413,82.000,,,,,,,
2568-07-10 18:34:41 - 2568-07-10 18:36:00,20.095,Running,0.409,79.000,,,,,,,
2568-07-10 18:38:24 - 2568-07-10 18:39:46,23.531,Running,0.417,82.000,,,,,,,
2568-07-10 18:42:04 - 2568-07-10 18:43:23,21.460,Running,0.413,79.000,,,,,,,
2568-07-10 18:46:01 - 2568-07-10 18:47:21,21.946,Running,0.411,80.000,,,,,,,
2568-07-10 18:49:06 - 2568-07-10 19:04:29,177.726,Running,2.307,923.000,0.000,0.000,1.000,0.000,0.000,148.000,153.000
2568-07-11 17:41:31 - 2568-07-11 18:49:50,663.262,Running,12.001,4099.000,0.000,0.500,0.500,0.000,0.000,133.000,138.000
2568-07-12 07:17:06 - 2568-07-12 08:23:58,609.631,Running,10.698,4012.000,0.143,0.428,0.429,0.000,0.000,130.000,144.000
2568-07-12 17:27:31 - 2568-07-12 17:56:13,300.436,Running,5.009,1722.000,0.000,0.333,0.667,0.000,0.000,135.667,144.000
2568-07-12 18:05:53 - 2568-07-12 18:19:15,224.198,Running,3.387,802.000,0.000,1.000,0.000,0.000,0.000,121.000,121.000
2568-07-12 18:22:11 - 2568-07-12 18:24:31,24.954,Running,0.293,140.000,,,,,,,
2568-07-16 18:27:16 - 2568-07-16 18:32:04,28.463,Running (Indoor),0.783,288.000,0.000,1.000,0.000,0.000,0.000,129.000,129.000
